response,model,min_data_in_leaf,num_leaves,cv_rmse,cv_r2
ETmax,M6_raw_12m,5,15,0.037912212841121,0.703872427003545
ETmax,M6_raw_12m,10,3,0.0369463957707931,0.718767999765614
ETmax,M6_raw_12m,10,5,0.0367813337597279,0.721275255143614
ETmax,M6_raw_12m,10,7,0.0373675637989342,0.712319682801955
ETmax,M6_raw_12m,10,15,0.0380298507206598,0.702031866233685
ETmax,M6_raw_12m,20,3,0.0361140512569707,0.731296700223751
ETmax,M6_raw_12m,20,5,0.037182255526423,0.715165860309834
ETmax,M6_raw_12m,20,7,0.0378407606854618,0.704987582938459
ETmax,M6_raw_12m,20,15,0.0379884206462937,0.702680731133959
uWUE,M2_12m,5,3,1.09103998553685,0.017184064625699
uWUE,M2_12m,5,5,1.08670818476082,0.0249728006881492
uWUE,M2_12m,5,7,1.07709385534547,0.0421490121821728
uWUE,M2_12m,5,15,1.09267790243627,0.0142309571684424
uWUE,M2_12m,10,3,1.09024675394672,0.0186126414999599
uWUE,M2_12m,10,5,1.0753773442669,0.0451995387717767
uWUE,M2_12m,10,7,1.07253586058794,0.0502386361229668
uWUE,M2_12m,10,15,1.09692490856694,0.00655311668838798
uWUE,M2_12m,20,3,1.06548829348234,0.0626792749498286
uWUE,M2_12m,20,5,1.07434673013229,0.0470287744746016
uWUE,M2_12m,20,7,1.08123036095383,0.0347777619266677
uWUE,M2_12m,20,15,1.09500292291036,0.0100314183814646
uWUE,M6_raw_12m,5,3,0.768922027107173,0.511847565862013
uWUE,M6_raw_12m,5,5,0.756165377483241,0.527910401535698
uWUE,M6_raw_12m,5,7,0.741067848470663,0.546573604707191
uWUE,M6_raw_12m,5,15,0.772403687707168,0.507416872324791
uWUE,M6_raw_12m,10,3,0.783639991537423,0.492981230008902
uWUE,M6_raw_12m,10,5,0.754170121183201,0.530398473718181
uWUE,M6_raw_12m,10,7,0.748327387725615,0.537646515529022
uWUE,M6_raw_12m,10,15,0.757686803177052,0.52600877568774
uWUE,M6_raw_12m,20,3,0.794423550904526,0.478931192780213
uWUE,M6_raw_12m,20,5,0.78460945680461,0.491725956820971
uWUE,M6_raw_12m,20,7,0.768182907953442,0.512785578799923
uWUE,M6_raw_12m,20,15,0.771843270827565,0.508131399609243
WUE,M2_12m,5,3,1.15175058370075,0.122147571848234
WUE,M2_12m,5,5,1.13177611541519,0.152332208598462
WUE,M2_12m,5,7,1.15414837618643,0.118488621628189
WUE,M2_12m,5,15,1.20086480892709,0.0456825416560821
WUE,M2_12m,10,3,1.15639871334027,0.115047761274539
WUE,M2_12m,10,5,1.16138866411128,0.107394007490868
WUE,M2_12m,10,7,1.18297678501519,0.0739017218430839
WUE,M2_12m,10,15,1.16887957018165,0.0958423341571768
WUE,M2_12m,20,3,1.13509467303396,0.14735391207215
WUE,M2_12m,20,5,1.14950765944582,0.125563310210032
WUE,M2_12m,20,7,1.15818065318617,0.11231834517363
WUE,M2_12m,20,15,1.16681399697269,0.0990350560433588
WUE,M6_raw_12m,5,3,0.791288430073894,0.585643396906415
WUE,M6_raw_12m,5,5,0.780040785737478,0.597339290085403
WUE,M6_raw_12m,5,7,0.799168218063651,0.577349836709743
WUE,M6_raw_12m,5,15,0.812327679028622,0.563316144831734
WUE,M6_raw_12m,10,3,0.799522622374418,0.57697489123609
WUE,M6_raw_12m,10,5,0.811350647968759,0.564365960370339
WUE,M6_raw_12m,10,7,0.796888461947835,0.57975775270869
WUE,M6_raw_12m,10,15,0.808117790917179,0.567830644310792
WUE,M6_raw_12m,20,3,0.797827997173268,0.578766233398196
WUE,M6_raw_12m,20,5,0.793988908385771,0.582810370791753
WUE,M6_raw_12m,20,7,0.797907309183308,0.578682479613089
WUE,M6_raw_12m,20,15,0.799384971884432,0.577120539650014
